آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Neutral,14,6,8,42.9,57.1,0.75,2018-08-11_2018-08-20|2019-01-12_2019-01-21|2020-02-14_2020-02-23|2021-01-14_2021-01-23|2021-10-14_2021-10-23|2022-03-11_2022-03-20|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-10-13_2023-10-22|2024-01-12_2024-01-21|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-11-14_2024-11-23|2026-02-14_2026-02-23
0.0,1,Core CPI m/m,Good,11,9,2,81.8,18.2,4.5,2018-09-14_2018-09-23|2019-10-11_2019-10-20|2020-01-15_2020-01-24|2020-05-13_2020-05-22|2022-04-13_2022-04-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2022-12-14_2022-12-23|2023-11-15_2023-11-24|2025-04-11_2025-04-20|2025-10-25_2025-11-03
0.0,1,Core CPI m/m,Bad,17,14,3,82.4,17.6,4.67,2019-08-14_2019-08-23|2020-07-15_2020-07-24|2020-08-13_2020-08-22|2020-09-12_2020-09-21|2021-04-14_2021-04-23|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-10-11_2024-10-20
0.1,1,Core CPI m/m,Neutral,28,15,13,53.6,46.4,1.15,2018-08-11_2018-08-20|2018-09-14_2018-09-23|2019-01-12_2019-01-21|2019-08-14_2019-08-23|2019-10-11_2019-10-20|2020-01-15_2020-01-24|2020-02-14_2020-02-23|2020-07-15_2020-07-24|2021-01-14_2021-01-23|2021-04-14_2021-04-23|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-12-14_2022-12-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-09-14_2023-09-23|2023-10-13_2023-10-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.1,1,Core CPI m/m,Good,5,5,0,100.0,0.0,inf,2020-05-13_2020-05-22|2022-04-13_2022-04-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2025-04-11_2025-04-20
0.1,1,Core CPI m/m,Bad,9,9,0,100.0,0.0,inf,2020-08-13_2020-08-22|2020-09-12_2020-09-21|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2023-05-11_2023-05-20|2024-03-13_2024-03-22
0.2,1,Core CPI m/m,Neutral,38,25,13,65.8,34.2,1.92,2018-08-11_2018-08-20|2018-09-14_2018-09-23|2019-01-12_2019-01-21|2019-08-14_2019-08-23|2019-10-11_2019-10-20|2020-01-15_2020-01-24|2020-02-14_2020-02-23|2020-05-13_2020-05-22|2020-07-15_2020-07-24|2020-09-12_2020-09-21|2021-01-14_2021-01-23|2021-04-14_2021-04-23|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-08-11_2022-08-20|2022-10-14_2022-10-23|2022-11-11_2022-11-20|2022-12-14_2022-12-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-09-14_2023-09-23|2023-10-13_2023-10-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2025-04-11_2025-04-20|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.2,1,Core CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-08-13_2020-08-22|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-09-14_2022-09-23
0.3,1,Core CPI m/m,Neutral,39,26,13,66.7,33.3,2.0,2018-08-11_2018-08-20|2018-09-14_2018-09-23|2019-01-12_2019-01-21|2019-08-14_2019-08-23|2019-10-11_2019-10-20|2020-01-15_2020-01-24|2020-02-14_2020-02-23|2020-05-13_2020-05-22|2020-07-15_2020-07-24|2020-09-12_2020-09-21|2021-01-14_2021-01-23|2021-04-14_2021-04-23|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-08-11_2022-08-20|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2022-11-11_2022-11-20|2022-12-14_2022-12-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-09-14_2023-09-23|2023-10-13_2023-10-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2025-04-11_2025-04-20|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.3,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-13_2020-08-22|2021-05-13_2021-05-22|2021-07-14_2021-07-23
